id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BDI017015_asiatique,Asiatique,Asiatique,asiatique,BDI017015_asiatique,-3.383,29.376
BDI017015_buyenzi-q1,Buyenzi Q1,Buyenzi Q1,buyenzi-q1,BDI017015_buyenzi-q1,-3.383,29.376
BDI017015_buyenzi-q2,Buyenzi Q2,Buyenzi Q2,buyenzi-q2,BDI017015_buyenzi-q2,-3.383,29.376
BDI017015_buyenzi-q3,Buyenzi Q3,Buyenzi Q3,buyenzi-q3,BDI017015_buyenzi-q3,-3.383,29.376
BDI017015_buyenzi-q4,Buyenzi Q4,Buyenzi Q4,buyenzi-q4,BDI017015_buyenzi-q4,-3.383,29.376
BDI017015_buyenzi-q5,Buyenzi Q5,Buyenzi Q5,buyenzi-q5,BDI017015_buyenzi-q5,-3.383,29.376
BDI017015_buyenzi-q6,Buyenzi Q6,Buyenzi Q6,buyenzi-q6,BDI017015_buyenzi-q6,-3.383,29.376
BDI017015_buyenzi-q7,Buyenzi Q7,Buyenzi Q7,buyenzi-q7,BDI017015_buyenzi-q7,-3.383,29.376
BDI017015_bwiza-q1,Bwiza Q1,Bwiza Q1,bwiza-q1,BDI017015_bwiza-q1,-3.383,29.376
BDI017015_bwiza-q2,Bwiza Q2,Bwiza Q2,bwiza-q2,BDI017015_bwiza-q2,-3.383,29.376
BDI017015_bwiza-q3,Bwiza Q3,Bwiza Q3,bwiza-q3,BDI017015_bwiza-q3,-3.383,29.376
BDI017015_bwiza-q4,Bwiza Q4,Bwiza Q4,bwiza-q4,BDI017015_bwiza-q4,-3.383,29.376
BDI017015_bwiza-q5,Bwiza Q5,Bwiza Q5,bwiza-q5,BDI017015_bwiza-q5,-3.383,29.376
BDI017015_bwiza-q6,Bwiza Q6,Bwiza Q6,bwiza-q6,BDI017015_bwiza-q6,-3.383,29.376
BDI017015_bwiza-q7,Bwiza Q7,Bwiza Q7,bwiza-q7,BDI017015_bwiza-q7,-3.383,29.376
BDI017015_centre-ville,Centre Ville,Centre Ville,centre-ville,BDI017015_centre-ville,-3.383,29.376
BDI017015_gatoke,Gatoke,Gatoke,gatoke,BDI017015_gatoke,-3.383,29.376
BDI017015_inss,Inss,Inss,inss,BDI017015_inss,-3.383,29.376
BDI017015_kabondo,Kabondo,Kabondo,kabondo,BDI017015_kabondo,-3.383,29.376
BDI017015_kigwati,Kigwati,Kigwati,kigwati,BDI017015_kigwati,-3.383,29.376
BDI017015_kiriri-vugizo,Kiriri Vugizo,Kiriri Vugizo,kiriri-vugizo,BDI017015_kiriri-vugizo,-3.383,29.376
BDI017015_mutanga-sud,Mutanga Sud,Mutanga Sud,mutanga-sud,BDI017015_mutanga-sud,-3.383,29.376
BDI017015_nyakabiga-i,Nyakabiga I,Nyakabiga I,nyakabiga-i,BDI017015_nyakabiga-i,-3.383,29.376
BDI017015_nyakabiga-ii,Nyakabiga Ii,Nyakabiga Ii,nyakabiga-ii,BDI017015_nyakabiga-ii,-3.383,29.376
BDI017015_nyakabiga-iii,Nyakabiga Iii,Nyakabiga Iii,nyakabiga-iii,BDI017015_nyakabiga-iii,-3.383,29.376
BDI017015_rohero-i,Rohero I,Rohero I,rohero-i,BDI017015_rohero-i,-3.383,29.376
BDI017015_rohero-ii,Rohero Ii,Rohero Ii,rohero-ii,BDI017015_rohero-ii,-3.383,29.376
