id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BDI008007_bushoka,Bushoka,Bushoka,bushoka,BDI008007_bushoka,-3.039,29.809
BDI008007_ceyerezi,Ceyerezi,Ceyerezi,ceyerezi,BDI008007_ceyerezi,-3.039,29.809
BDI008007_gahar0,Gahar0,Gahar0,gahar0,BDI008007_gahar0,-3.039,29.809
BDI008007_gasenyi,Gasenyi,Gasenyi,gasenyi,BDI008007_gasenyi,-3.039,29.809
BDI008007_gashibuka,Gashibuka,Gashibuka,gashibuka,BDI008007_gashibuka,-3.039,29.809
BDI008007_gatozo,Gatozo,Gatozo,gatozo,BDI008007_gatozo,-3.039,29.809
BDI008007_gatura,Gatura,Gatura,gatura,BDI008007_gatura,-3.039,29.809
BDI008007_gisara,Gisara,Gisara,gisara,BDI008007_gisara,-3.039,29.809
BDI008007_gitamo,Gitamo,Gitamo,gitamo,BDI008007_gitamo,-3.039,29.809
BDI008007_jimbi,Jimbi,Jimbi,jimbi,BDI008007_jimbi,-3.039,29.809
BDI008007_kanyundo,Kanyundo,Kanyundo,kanyundo,BDI008007_kanyundo,-3.039,29.809
BDI008007_kibimba,Kibimba,Kibimba,kibimba,BDI008007_kibimba,-3.039,29.809
BDI008007_kivuzo,Kivuzo,Kivuzo,kivuzo,BDI008007_kivuzo,-3.039,29.809
BDI008007_masama,Masama,Masama,masama,BDI008007_masama,-3.039,29.809
BDI008007_masanze,Masanze,Masanze,masanze,BDI008007_masanze,-3.039,29.809
BDI008007_mborwe,Mborwe,Mborwe,mborwe,BDI008007_mborwe,-3.039,29.809
BDI008007_mibazi,Mibazi,Mibazi,mibazi,BDI008007_mibazi,-3.039,29.809
BDI008007_muhanga,Muhanga,Muhanga,muhanga,BDI008007_muhanga,-3.039,29.809
BDI008007_mwendo,Mwendo,Mwendo,mwendo,BDI008007_mwendo,-3.039,29.809
BDI008007_ndava,Ndava,Ndava,ndava,BDI008007_ndava,-3.039,29.809
BDI008007_ngoma,Ngoma,Ngoma,ngoma,BDI008007_ngoma,-3.039,29.809
BDI008007_nyamitanga,Nyamitanga,Nyamitanga,nyamitanga,BDI008007_nyamitanga,-3.039,29.809
BDI008007_nyamwera,Nyamwera,Nyamwera,nyamwera,BDI008007_nyamwera,-3.039,29.809
BDI008007_nyarurambi,Nyarurambi,Nyarurambi,nyarurambi,BDI008007_nyarurambi,-3.039,29.809
BDI008007_rubanga,Rubanga,Rubanga,rubanga,BDI008007_rubanga,-3.039,29.809
BDI008007_rugamba,Rugamba,Rugamba,rugamba,BDI008007_rugamba,-3.039,29.809
BDI008007_rushenza,Rushenza,Rushenza,rushenza,BDI008007_rushenza,-3.039,29.809
BDI008007_rushubi,Rushubi,Rushubi,rushubi,BDI008007_rushubi,-3.039,29.809
BDI008007_sakinyinya,Sakinyinya,Sakinyinya,sakinyinya,BDI008007_sakinyinya,-3.039,29.809
